text,target
This is a night where I wanna run da streets of Harlem but I can't ,0
Omg hip still hurts! hopefully it will feel better soon ,0
has to wake up soon but can't sleep! work in 4 hours ... ,0
im so not in the mood for work today i dont wanna go ,0
@DexterVonDoom  do You know he just joined Twitter!~ =  @MatthewSantos ...cant wait to hear it...broke till next week ,0
what a boring rainy Sunday ,0
sunday  last day of half term...i finnish skwl totally on may 15th then all hav to do is go on for examz...dreadin results in summer tho!,0
awake with a sick little guy.  ,0
Not feeling good this morning ,0
working on a project due on tuesday!! blaaah ,0
@fourtonmantis frank gave me nightmares ,0
@temposhark Renting movies on iTunes requires one of the newer video enabled iPods. I have one of the early ones that is not compatible ,0
@abilovesjesus I'm sorry.   Hope you get better soon!  Love you!,0
@riversideboy yeeeeehaaa parttty on im gunna tweet later coz my battery is about to die noooo  x x take care,0
Lots of homework to do ,0
@auditiondanny How the hell did that happen?  Poor Danny.,0
In my room. Bored. Need to go to sleep.. ,0
@kanupriyasindhu cold and cough and fever..and still in office ,0
"Lost my Nokia 6233 last evening, in front of my own house! Super stupidity ",0
is thinking how home it would be to still be at nice!! ,0
im in IT ,0
Oh no.. Sudden stomach cramp in heavy traffic.. ,0
@stephenfry I got that tomorrow! ,0
I need a hug. ,0
I am wayyyy too poor  so bad.,0
I feel so far away from everyone! ,0
"VMWare, thy Perl API makes me sad ",0
lauren broke my dvd player ,0
is really bored and  has nothing to do!! ,0
"@galaxico - i have exactly the opposite problem lol boxes of milk, but no cereal ",0
@chiminychanga I can't  I get chills up my spine like imagining biting down on a metal fork and pulling it... Ok yeah I took the cap off.,0
@reatlas  Clean Me!,0
@writeplayrepeat probably wont make it tomorrow due to the fact that I have to go rescue a friend later tonight.... sorry ,0
Called RADIO DISNEY 2day &amp; they ANSWERED! F*ing FINALLY. Requested &quot;I WANNA KNOW YOU&quot; by David Archuleta &amp; Hannah MONTANA. didn't play! ,0
"just fell asleep for 6 hours, what a wonderful way to spend a Friday night. ",0
fire in the south Tower...now i'm stuck in Riddel! ,0
Susan made me a good breakfast and now we're headed downtown to the Opening Ceremony.  Thunderstorms predicted all day. ,0
@ParentStudent Oh!  Well done though!  Did I tell you I had to give up my course this year?  ,0
"Just got DailyBooth, I keep getting told to so I did.. Gah.. Add me or w/e? The names GracieGee.. Dont mock Im new lmao ",0
@arancinibaby eheh yea it's pretty heavy!!  am about 2 fall asleep!,0
@monseur77 u gotta wait till next year ,0
"@MickyFin Ah yes, I think that would be ideal. Sadly, I don't think my budget will stretch that far just yet! ",0
"Working on the final project, course work from early morning, still a lot of stuff need to be done ",0
Another rainy weekend ,0
in bed being taken care of by nurse cat. she's wonderful! watching the sunshine outside wistfully ,0
@nate_robinson sorry you did not get your size ,0
God I wish we had taco bell here in england ,0
@KrisZombiee  sorry u feel that way i wish i can make u feel better...,0
pukebuckets... someone really upset me today. ,0
Why did nobody tell me that American Adventure closed down?! ,0
Jack Kemp passed away  politician from NY but also played in NFL for the bills.,0
@danigirl76 i think iï¿½m gonna send him a msg on myspace. i hope he will reply... @JustMe_Viv yes me too... i hope he really does ,0
bored and with no one to talk to.... ,0
@ taylorgenovese you still going to film tonight? I need a ride  http://twurl.nl/ldoxpk,0
still waiting on my sb6 album/poster to get here ,0
The hardest part of homework is deadline ,0
Lacey doesn't like me anymore cause her bug ,0
"@pmatty ahhhh that's so shit  I don't want it to leave, I love going on the rooft",0
"my whole life ive wanted to be a superhero, you know that? sadly some dreams can never come true ",0
at juan's house. awwww today was our last performance of the musical im sad  someone text me.,0
I really wanna learn how to harmonize by ear ,0
@ChicagoRose @ConnieCuervo  i dont have ichat and the rest of the world does,0
we actually did a 3 day trip; covering around 80 kms a day. But to plan one in May is a bad idea; you get tired real fast ,0
NEEDS to work but WANTS bath ,0
Ugh i'm at school already ,0
im gunna get going now the sooner you start the sonner you finish but i dont think i will finish  bad times love you all update soon x xx,0
@girl2008 he's much better this morning thanks. I use this enzyme stuff on him. Had to stay out last night &amp; he's a bug sissy about that. ,0
my twitter isn't working on my phone ,0
Route 666 episode.  This title always makes me laugh.  I grew up not too far from Highway 666.  Made me sad when they renamed it  ,0
"I'm sad, I can't wear my UggBoots anymore ",0
@JoshyCouture  roof top time.,0
Bummed  Got the length &amp; one long side of edging done b4 realizing an error in my math. Need to find a new edging for scarf now ,0
"@invalid_reality Dude, my Caps lost.  Who do I sue?",0
not feeling so well ,0
WE ARE 7th ON THE LADDER!!  we are sinking lower and lower every week boys! Where did that flare we had in round 1 and 2 go?,0
i hate them. and myself. how come? ,0
@xoMusicLoverxo Haha. Yeah I KNOW I need to update. I feel so guilty for lagging. ,0
commerce study is dull to the max. I hate tests ,0
The ducks just flew outta Tony Soprano's pool ,0
Going to lunch with my dad before he heads back to Brazil... Everyone else has already left. ,0
just got home from breakfast with my family for mothers day... need to do homework now ,0
"@Jakoby0905 Same shit, we just got extention... And its stressin me. ",0
someone get on an talk to me  I'm bored and working on a site,0
@Bec__Stanton it wasn't really more PPT I was thinking of  #cua09,0
@theebayk1d True. We get unlimited calls w/ Telstra for about $100US. Only comes with 150mb data though  Coverage is FULLPROOF.,0
i just want to be better ,0
"up at 6am, had a coffee and is off the school soon ",0
http://twitpic.com/554gy - my messed up casted hand  sigh. i did my best.,0
Did you forget everything we ever had? Did you forget about me? Did you forget about US? ,0
why dont mcfly do signings near hartlepool... its not fair ,0
i wish i had schrodinger's cat ,0
"Hello Twitters!!! What a rubbish, rainy and cold day we are having ",0
Missing work from yesterday galore... ,0
is sorting out her playlist for tomorrow's radio show... it's the last one of the year ,0
Back is sore from sitting on chair for two and a half hours gettin tatted up!  never again..,0
 its not fair idk why he doesnt like me,0
My night is shot! Im mad  I wanted to go out,0
@IamDomo You are silly! It doesn't look like she is Tweeting anymore  I can't find when/where she came through at.,0
i worked 10:30 - 2 today and now i'm home alone doing assignments ,0
"What? the Crossing is never coming out, too? Damn IT. this year Sucks for games.",0
am really tired but cant go back to sleep ,0
so i took my cereal to work this morning but the office fridge is all out of milk ,0
@jemappellebrttl yay bruce! I miss youuuu ,0
"@ramses101 st voyager night!? oh no, i missed it being out dancing  =A=",0
"Up, gotta sing in a couple hours, LORD I am tired. Might not be making that beach run today, I got a lot of work to do ",0
Ah fk I hate going to church. I am so not a holy person! ,0
@Snappsgirl89 I just paid to have them bathed... now they are going to stink...   waste of $$   booo hooo... Good Luck... hopeit goes qk,0
Farting on trains ,0
"So very bored, and got a sore throat again!! ",0
@Ceilia_Aleen cilly willy gueros puter isnt charging ,0
bangalore has to get past the deccan team on 21st or tuesday agst the daredevils (unlikely  ) #ipl #superbowl,0
"@fullerc boo cough  no ren fair for you either? Suck  I hope you feel better, call if you need anything ok? (medicine, tea, more beer..)",0
Going to dance rehersal!! ,0
Looking at the great yorkshire run details for Sheffield. It's down a dual carriageway and then back along the other side. ,0
I wish I was at the beach.  fail for work,0
Phaa  Can't sleep cause Im on a diet and have stopped drinking alcohol-went to bed at 12MN last night and was up at 6am this morning!!,0
"@_VQ_    Your Dallas, Boston, and London options are looking mighty fine a.k.a. no quakes",0
"Good morning world, i'm already tired ",0
"@bomchikawahwah No I haven't, unfortunately. And while I study I won't be able to travel much. ",0
@Karen230683 I wish I could have done that today. ,0
I juasmnlgndksineus I FUCKING HATE TYPOS!!!!!!!! MY ITOUCH DOESNT LIKE ME ,0
Off for more blood letting at the hospital !! ,0
just can't be arsed with this exam  3 hours in silence... *sigh*,0
"I should be getting a little more revision done but I can't decided what to wear, ",0
. what's everyones up to? really tired! watching depersate housewives  needs a hug!!! ,0
@imsoharlembitch yea I understand sorry about that ,0
is not having a good day - my speakers have broke (music is a must while working) and a bird has pooed on my washing ,0
I'm sorry that I haven't been able to do all my good mornings today  busy morning.. Hope u all have a fabulous day!! God bless,0
dead roses in my room like all my life.. ,0
"am sick, i hate being sick, and the doc wont let me work because i have the flu... not that flu! just the regular flu.. ",0
Its a dirty rotten day out ,0
"Jersey is having a very hard morning, screaming as if she's in pain and having trouble eating, moved Dr. Appoint to today,so sad for her ",0
doesn't know what to do... Go to the gym or go home!? ,0
catching up with work ,0
@TootsiiePop....so not fair I been askin for a movie date gurl..nobody wanna take me..  guess im washed up..lol,0
"Standby starts in 2 mins, blue skies in Ayrshire, consequently expecting the phone to ring! ",0
"@PixieVonDust *kicks stones* Wasn't me, Miss ",0
Hungry and thirsty but it's too close to lunch to go for breakfast. And my last.fm library keeps crashing as soon as it's pas the advert. ,0
@susie107 I assume you're 2nding my comment abt Baby P? Are things like this coming more common or are we just more aware? It's very sad ,0
Class  grre I hate testing time,0
WHY WON'T RAGNHILD ANSWER ME?! ,0
@juliefacex I have NO idea...scary. I'm eating lunch...do you know why M&amp;S cut out the middle of teh cucumber in their salads? ,0
talking to erica in english is gayy ,0
"@Justineedge ooohhh dang, sorry to hear that ",0
Someone tweet ,0
@niftynique Ugh!   Hope the BBQ goes well without rain! ,0
Left the house but forgot to repaint my toes! I feel so naked! ,0
@tb78 half an hour for lunch??? Lucky if I get 5 mins! ,0
is absolutely starving. But too sick to eat anything  bleck.,0
Boys keep sending me porn of themselves. Me no likey ,0
@sharongs Thanks - I will try to be patient.  I go through this alot.   but never feel this crumby.,0
@funsizedmimi14 @hollaferheatha quit this chit-chat about tubing and tan lines on sunday  it's bad enough i cant get off work.,0
@chatterboxreb my iPhone is tainted now ,0
@kirstiealley  thats not nice ,0
A tendon in the back of my knee has been tightening and pulling all day. The weird thing is that it makes my eyes water every time..   ...,0
@therealnobody  thoughts &amp; prayers out to you,0
@kfoxxy07  Kay i'm sad my team lost..so heartbroken,0
Tired as hell  why does being sick throw off your sleeping patterns?,0
"the sad part of life is that you outgrow relationships  and then no matter how much band aid you put on it, it is too late !",0
ughh headached ,0
@math_d0rk in the faucet. But it's too hard to drink right out of it. ,0
"@AnneMarie_x ME TOO, MAN. CYNTHIA IS COMING. ",0
"@XXjenXX09 yeah  ugh, that was terrible!",0
@OfficialSTaylo yea sorry..need some sleep or I can't function! ,0
Wow.  It's 11p and I'm dog tired.  I miss staying up til 2 ,0
I think i need a pet... cuando tenia mi gallito era tan feliz ,0
lmaaaaoooo I took a shit in school that fat bitch told the whole classs ,0
fucking in pain while I sleep twisted my ankle really bad  playing basketball at stewart park ova south! damnn. tweet me bored.,0
you know that time when you realize your babies aren't babies anymore? That's where I am  bittersweet . . . they grow so fast . . .,0
mmm much better day... so far! it's still quite early. last day of #uds ,0
sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!! ,0
as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,0
Just awoke in a completely freaked out frantic frenzy.  It's going to be a long night.,0
NO! Our TV's busted  The screen turned white for about a nanosecond while it made a quick &quot;popping&quot; sound.,0
"i dislike math, but math HATES me ",0
Listening to the Legally Blonde musical soundtrack. Lamenting not going anymore. Perhaps I will buy a nosebleed seat and go alone. ,0
@indiepixie omg a roach was in my room for the first time ever in this apartment today. I hope I don't have Patricia luck next ,0
"he switches off his cellphone!! huaaaaa, i cant sleep  buzz me bebe..",0
i looking at failure ,0
Waiting for 5:00 &amp; having cramps ,0
@natashaaaaaa awlll mann  we should meet up this summa or something!,0
My son's first tooth came out but he left it at school ,0
bad mood and i dont feel good. too bad no one cares ,0
Fml just ran a mile.. And I just got scraped by my yearbook and I got 1/10 on my math test. Eff today ,0
I am out of credits - must work on my playlist  ? http://blip.fm/~7a7tv,0
"Now, I regret not going to see Up today. Damn you, messy room. ",0
@StephenMulhern I'm absolutely jealous as hell of Brenda   ,0
I got up early to pay bills. I figured its like a bandaid if I get it over quickly it won't be so bad... I was wrong ,0
my finger is now pregnant ,0
"Too many cocktails last night, my head hurts ",0
"just camee back from bowling, which i offiacial suck at ",0
@bwexxx  i hope you hoes are having so much fun...not TOO much without me though lol,0
@IAMtheCOMMODORE yea well your not going to be #fullmooncrazy in Toronto  boo!,0
@tokiohotel4lyf but I nbd got it  haha!,0
@Fheffinger wish i was there and not editing tonight ,0
@EliteTravelGal done that! actually I reached the hotel at my and realized I didn't have my purse while checking in ,0
coding advInter is much more fun than infostudio ,0
@kgilla wish i coulda made the concert ,0
should have been asleep for the past 1.5 hours. ,0
so tired of picture books and finding their concept of childhood. wicked needed damn parents banning me from going till exams are over ,0
@jtauber This is an absolute first for me. Usually the a long sleep is actually what cures them for me. ,0
yest i had a gud travel from chennai to trichy... Got the last seat  due to late booking...,0
"@Tanya_Naughton im better now, they took our furniture, bikes, appliances, u name it they took it  miss u too, hopefully ill see u soon xx",0
I don't feel like doing my work. ,0
My sticker is about to fall off.  my Breast Cancer sticker I got from Danny's party - I stuck it on my phone. ,0
Leaving for Ottawa soon. Joy. When my best friends parents aren't home and she's having a party.  ,0
Packing and listening to the stonkingly good further complications. Looks like a nice day out. And I'm stuck in  boohoo.,0
trying to understand . ,0
I don't want to go to work today ,0
nobody answered my question this morning ,0
I have THE most painful blister on my heel thanks to my sandals. Stupid shoes. Ended up walking home barefoot it hurt that much! ,0
@wesupportniley omg no way!  damnit. niley needs to get back together now.,0
its so cold but i need to go out for walk to get my car ,0
"@therealashley i am wonderful! god, i haven't seen you in sooo long.   hope all is well lady!",0
I'm very disapointed supernatural season 4 is all finished.  cain't wait for it's return.,0
"@SapphyNo1 He has but the DM has vanished somehow (I didn't delete it, honest!) and the link went to a site I couldn't do anything with ",0
Round 1: Flawless; Round 2: Diversity; Round 3: Flawless. FLAWLESS K.O.!! Sadly probs won't be the result. ,0
Sp2 installed successfully but I didn't gain disk space like everyone else ,0
ahhhhhhhhhhh so much due this week... ,0
@xoxoexohexoh How was your yard sale? And sorry for texting you so late last night ,0
Graduation went great. Although now I have a ridiculous headache ,0
stupid itunes...none of my plain white t's songs won't play ,0
you bet your sweet aspercream! ,0
DEm i miss old music u know 80's  now we are stuck with lil wayne =p,0
@Carterism It was super confusing at first but now I know how to play. I lost ,0
I feel a pain in my stomach when rock band is mentioned. All my progress somehow got deleted! I was a rock immortal! ,0
Wants to talk can't sleep ,0
"so now, I only have 30 rb in my wallet ",0
is takin it easy tonight. im broke ,0
@SchuggaJoy  its a repeat  I'm wathcin OPRAH.. ugh... I can't fall asleep ,0
"Ah, needs sleep. Might not go to California afterall ",0
Hope u guys are havin fun!!! I'm here at home being sick. Yup I'm having fun too. ,0
I lalalaloooovveeeeee UP!  SO CUTE!!! But also so sad  BUT SOOOOOO CUTE!!!!!! I KNEW I WAS GOING TO LOVE IT!!!,0
"@CarolBomb Gawd, I hope so too. A genuine threat could possibly mean a repeat event, if we find her... ",0
@moanyboot just tell him to clear off you should be able to enjoy the sunshine in the privacy of your own garden ,0
my leg is ready to commit suicide and just chop itself off... I don't know what I did to the poor thing but I apologize ,0
spose id better get on with the second section of this science ,0
I miss my girls ,0
"Uh oh, my camera is busted again ",0
got back from school gotta do crappy homework ,0
Leaving o town ,0
Dealing with pain today. ,0
@JThawley Madness drivers left is closed. Can't get there   Still looking around....  I didn't even get dairy queen for my 7th. Have fun!,0
- The grocery store is my 3G dead zone. ,0
cramps.. ,0
My stomach looks so big ,0
It peeves me that going to work from phong's takes 10-40 min...it fluctuates depending on traffic. I hate being early ,0
;-( phone is dying time to charge ;/) I only sleep 3 hours ,0
Yellow and white doesn't quite go with Emily's purple and white room... Blehblehbleh... When's Emmy coming home? ,0
"Jims been gone a week! My plane leaves Tuesday to see him, I miss home ",0
@GuitarHeroDLC oh well there goes my hopes for blackened and ride the lightning ,0
Going to camp david. No service there. ,0
I still feel like doo doo hate being sick I miss drinking ,0
@MATTHARDYBRAND I love that palce but they don't have one by me anymore ,0
@jessiesaly oh no  I hope you feel better for tommorow,0
Y!:I KNEW it!! Princess Bug is having babies! She is still only a baby herself! I'm worried... ,0
@samatlounge yes - I too must return to the grindstone and place my nose thereon ,0
Stuck on 2.9mb BBand  Engineer comming out tomorrow!,0
@johnnyalfredo So sorry that you're having trouble sleeping! ,0
"@Hanster7705 They always do it. They send out emails/texts to the actors, but never to the backstage people ",0
My fingers are in bits from guitar  lucky this is touch screen=] as for my fingers they're not touching that guitar for a while!!,0
"@ruberman totally, my brother its mean with me. ",0
"yeah but @ashleyaubrey tell me that wasn't the best thing ever. @omarandjohnny, will do! But Twatlight seems to be winning everything so ",0
Finally woke up and still feeling soooooo sick ,0
nothing feels right when im not with you....... ,0
i thinkk i miss my friend ,0
waits impatiently for facebook/hotmail/net bank to work on my computer ,0
Doesn't want another stupid needle  I need to get dressed,0
"Feeling the hayfever today, and oh look, no pills! ",0
Why do people who have no relevance to me follow me? Do I block? That seems rude.. Do I ignore? That's rude too! Too many silly updates ,0
RIP @leyeaaah 's dog Draco.  We shall see you at the skylines.,0
@nickmileyjonas I don't think so  I'll check later.. why? you have?,0
uneasy about my trip  http://plurk.com/p/xlzfe,0
@Alice4life we are newer hear at same time  u go to school by school bus? cool ,0
@Smeegazzle Been poorly since Australia.  You back at work already?,0
"omggg, i wanna go see @TraceCyrus (metro station) soo bad on thursday!!! i probably can'ttt  i'm freaking dying here!!!",0
thinks he just found one of his tshirts... on someone else on facebook ,0
Where my twitters @!?!?!?! ,0
Very sad Danny La Rue has died. I met him once when I worked in Gap Kids. He bought a lovely outfit for his niece. He was a very nice man ,0
@deastatic ah i wish i watch it  kamu suka stacked ga?,0
"im really in sad mood, my cat has been put to sleep today after i already thought she would feel better...R.I.P. Kitt ",0
wishes her boss could also be that guy.  so jealous!,0
@iambarley can't get twitterfox to work  Shall we publish TR?,0
@tabitharose93 Yeh we do ,0
@candace14   hope you start to feel better soon!,0
I'm loving the weather!! but not the fact that I have to work through it ,0
Im not in the best mood  i wish people would just not talk right now,0
Bored as crap in astronomy class. ,0
"@charlesmoreland Living in a foreign kitchen sucks. We don't my usual spices, and nothing is where it should be. Also: no venison. ",0
cricinfo changed to a new interface. now i am confused where to find live scores on the site ,0
@Piercing_thesky aww poor edgar ,0
I have a tummy ache ,0
@dbsalter yep ,0
"NOOOOO, NOT CHRIS! Gutted. ",0
Listening to Press Conferences... buffering... ,0
Yeah. Me too. I totally know how you feel KT...    ,0
I wanted to win a DSi   I tried so hard IGN.  I am sad.,0
having chest pains. never good never good. ,0
*HATES* the loud trains!!! I can't hear Maybe Baby with the window open and I bake with the window shut ,0
"@Freiyja  Shoot! They always seem to play &quot;Fur Elise&quot; whenever I hear them. At my gramma's, anyway.",0
@HolyPanic on the boards.....aka...Dylicious Dannie    i even apologized   ps thanks for the -hero pose- hehe,0
wish Reece would stop crying and just go to sleep ,0
I had a little oops moment and messed up my car ,0
"I wish there was a forest trail right outside my house where I could walk, hike, bike, and explore! Buuuut I don't. ",0
"Ugh. Why do people insist on hacking my Myspace ?  crazy, creepy nerds...",0
@VickyMathew dang i need cool stickers too  tell me your secrets of your sticker collection,0
"2 exams down, 6 to go!!! ",0
I wanna check out the new DJ Hero ,0
"@lamere thank you so much, looking at these pics makes me want to have one more ",0
Resetted Wordpress password via MySQL command prompt as described here: http://bit.ly/F1rTh  ,0
#TwitHive seems to be a cool Twitter App. Looks like  the small TweetDeck Web Edition ... cant yet upload images  http://twithive.com,0
is over her stupid car seriously It should have been  ridden off  ,0
"I appear to be getting blog spam that points to Google. They're not even trying to make the comments interesting any more, either ",0
@hecklerspray Its not working for me.  I tried to read something about Madonna yesterday.,0
goodbye gossip girl ,0
Now time to get to work.  200 emails to sort through ,0
Aneurysm is a terrible way to die. I don't want my brain to explode ,0
The weather forecast (Bay Area) is depressing me.  ,0
@DtotheUG oh ouch ,0
sucks that Lauren Conrad is not on the hills anymore. ,0
@mijafan darn..I thought JB actually had a chance..3 to 0 MJ  ohh well..I know that JB is amazing! ,0
"@Pat313 Yo, I accidentally erased that DM  can you resend it please",0
oh i feel sorry for this lady now  i do have a heart i do,0
http://twitpic.com/6hpu9 - staying home sick today ,0
@MadisonBraun I hope he does alright. Thats sorta sad.. ,0
@dawei_nl and you can't tweet with your love ,0
making a CD for his bro montana... my shoulder hurts. ,0
I love being nice and people using me ha get the fuck out or cheer me up ,0
Just had a black out. ,0
@davidshoare Perhaps the Holby ambulance was on its way to Cardiff ,0
Just had a really bad nightmare ,0
"Fever, virus...words I don't like hearing ",0
"@StarshineAmber aww, i thought i thought i could do it? ",0
@animesh1988 :mesha! gtalks been  blocked  at ps da   am stil in hyd will be here for quite some time i think.where are u interning,0
is having such a bad day already ,0
No one will ever again think I'm quite as perfect as my son does at this age. Its Awesome !! I don't want him 2 grow up ,0
@dannywood Sorry Danny i am gonna miss the tour! u See my show was TODAY!!  hope u guys have a blast though,0
"Drat, play cancelled due to bad weatherforecast &amp; now it's absolutely gorgious outside ",0
ooh bye mcfly  the brazilians cry :'(,0
The photos of cadaverous (http://cli.gs/WqtsX7) people at http://millionsofmouths.com/info.html are heart wrenching.  How can we all help?,0
Powers out ! ,0
@itsjustgoldie @odubb I have never watched NICK as a child ,0
@sweetcarol yes the sad part is that i cant go pick it up until Saturday.. i haven't the time. ,0
poptarts shouldn't taste like medicine ,0
